a_star,Ltot_over_LEdd
0.850000,0.6000
0.852525,0.6076
0.855051,0.6152
0.857576,0.6227
0.860102,0.6303
0.862627,0.6379
0.865153,0.6455
0.867678,0.6530
0.870203,0.6606
0.872729,0.6682
0.875254,0.6758
0.877780,0.6833
0.880305,0.6909
0.882831,0.6985
0.885356,0.7061
0.887881,0.7136
0.890407,0.7212
0.892932,0.7288
0.895458,0.7364
0.897983,0.7439
0.900508,0.7515
0.903034,0.7591
0.905559,0.7667
0.908085,0.7743
0.910610,0.7818
0.913136,0.7894
0.915661,0.7970
0.918186,0.8046
0.920712,0.8121
0.923237,0.8197
0.925763,0.8273
0.928288,0.8349
0.930814,0.8424
0.933339,0.8500
0.935864,0.8576
0.938390,0.8652
0.940915,0.8727
0.943441,0.8803
0.945966,0.8879
0.948492,0.8955
0.951017,0.9031
0.953542,0.9106
0.956068,0.9182
0.958593,0.9258
0.961119,0.9334
0.963644,0.9409
0.966169,0.9485
0.968695,0.9561
0.971220,0.9637
0.973746,0.9712
0.976271,0.9788
0.978797,0.9864
0.981322,0.9940
0.983847,1.0015
0.986373,1.0091
0.988898,1.0167
0.991424,1.0243
0.993949,1.0318
0.996475,1.0394
0.999000,1.0470
